"DATE","TIME PERIOD","(LFSI.M.CZ.S.UNEHRT.TOTAL0.15_74.T)"
"1993-01-31","1993Jan","4.538630"
"1993-02-28","1993Feb","4.347747"
"1993-03-31","1993Mar","4.382911"
"1993-04-30","1993Apr","4.457879"
"1993-05-31","1993May","4.404872"
"1993-06-30","1993Jun","4.361274"
"1993-07-31","1993Jul","4.516750"
"1993-08-31","1993Aug","4.209392"
"1993-09-30","1993Sep","3.968044"
"1993-10-31","1993Oct","4.288080"
"1993-11-30","1993Nov","4.061990"
"1993-12-31","1993Dec","4.246058"
"1994-01-31","1994Jan","4.185051"
"1994-02-28","1994Feb","4.199178"
"1994-03-31","1994Mar","4.040506"
"1994-04-30","1994Apr","4.390023"
"1994-05-31","1994May","4.182217"
"1994-06-30","1994Jun","4.363078"
"1994-07-31","1994Jul","4.248149"
"1994-08-31","1994Aug","4.415967"
"1994-09-30","1994Sep","4.436775"
"1994-10-31","1994Oct","4.449357"
"1994-11-30","1994Nov","4.264097"
"1994-12-31","1994Dec","4.312082"
"1995-01-31","1995Jan","4.188309"
"1995-02-28","1995Feb","4.126844"
"1995-03-31","1995Mar","4.257598"
"1995-04-30","1995Apr","4.152003"
"1995-05-31","1995May","4.051270"
"1995-06-30","1995Jun","4.292094"
"1995-07-31","1995Jul","4.123837"
"1995-08-31","1995Aug","3.966270"
"1995-09-30","1995Sep","3.809847"
"1995-10-31","1995Oct","3.983767"
"1995-11-30","1995Nov","3.630710"
"1995-12-31","1995Dec","3.660041"
"1996-01-31","1996Jan","3.892823"
"1996-02-29","1996Feb","3.390009"
"1996-03-31","1996Mar","3.580019"
"1996-04-30","1996Apr","4.052955"
"1996-05-31","1996May","3.825058"
"1996-06-30","1996Jun","3.835226"
"1996-07-31","1996Jul","3.921738"
"1996-08-31","1996Aug","3.955731"
"1996-09-30","1996Sep","3.931529"
"1996-10-31","1996Oct","3.987342"
"1996-11-30","1996Nov","4.085663"
"1996-12-31","1996Dec","4.239347"
"1997-01-31","1997Jan","4.305071"
"1997-02-28","1997Feb","4.082120"
"1997-03-31","1997Mar","4.146325"
"1997-04-30","1997Apr","4.538331"
"1997-05-31","1997May","4.517362"
"1997-06-30","1997Jun","4.797703"
"1997-07-31","1997Jul","4.883068"
"1997-08-31","1997Aug","4.863930"
"1997-09-30","1997Sep","5.029737"
"1997-10-31","1997Oct","5.183162"
"1997-11-30","1997Nov","5.378671"
"1997-12-31","1997Dec","5.720713"
"1998-01-31","1998Jan","5.663232"
"1998-02-28","1998Feb","5.629144"
"1998-03-31","1998Mar","6.011078"
"1998-04-30","1998Apr","5.832763"
"1998-05-31","1998May","5.903431"
"1998-06-30","1998Jun","6.407852"
"1998-07-31","1998Jul","6.571531"
"1998-08-31","1998Aug","6.560977"
"1998-09-30","1998Sep","6.939770"
"1998-10-31","1998Oct","7.319990"
"1998-11-30","1998Nov","7.293810"
"1998-12-31","1998Dec","7.352648"
"1999-01-31","1999Jan","7.859654"
"1999-02-28","1999Feb","8.182374"
"1999-03-31","1999Mar","8.533828"
"1999-04-30","1999Apr","8.571249"
"1999-05-31","1999May","8.825646"
"1999-06-30","1999Jun","8.416643"
"1999-07-31","1999Jul","8.697410"
"1999-08-31","1999Aug","9.011922"
"1999-09-30","1999Sep","9.128964"
"1999-10-31","1999Oct","9.102985"
"1999-11-30","1999Nov","9.068325"
"1999-12-31","1999Dec","9.116980"
"2000-01-31","2000Jan","9.190790"
"2000-02-29","2000Feb","9.288802"
"2000-03-31","2000Mar","9.320522"
"2000-04-30","2000Apr","8.993929"
"2000-05-31","2000May","9.065353"
"2000-06-30","2000Jun","8.578244"
"2000-07-31","2000Jul","8.601845"
"2000-08-31","2000Aug","8.584022"
"2000-09-30","2000Sep","8.335841"
"2000-10-31","2000Oct","8.430964"
"2000-11-30","2000Nov","8.558877"
"2000-12-31","2000Dec","8.203407"
"2001-01-31","2001Jan","8.355498"
"2001-02-28","2001Feb","8.260911"
"2001-03-31","2001Mar","8.146636"
"2001-04-30","2001Apr","8.250356"
"2001-05-31","2001May","8.062064"
"2001-06-30","2001Jun","8.019487"
"2001-07-31","2001Jul","8.168395"
"2001-08-31","2001Aug","8.220031"
"2001-09-30","2001Sep","8.226271"
"2001-10-31","2001Oct","7.834725"
"2001-11-30","2001Nov","7.882647"
"2001-12-31","2001Dec","8.046520"
"2002-01-31","2002Jan","7.438014"
"2002-02-28","2002Feb","7.429564"
"2002-03-31","2002Mar","7.569128"
"2002-04-30","2002Apr","7.016653"
"2002-05-31","2002May","7.108033"
"2002-06-30","2002Jun","7.354421"
"2002-07-31","2002Jul","7.090227"
"2002-08-31","2002Aug","7.229278"
"2002-09-30","2002Sep","7.258536"
"2002-10-31","2002Oct","7.126060"
"2002-11-30","2002Nov","7.475927"
"2002-12-31","2002Dec","7.407371"
