"DATE","TIME PERIOD","(LFSI.M.NL.S.UNEHRT.TOTAL0.15_74.T)"
"1983-01-31","1983Jan","9.487628"
"1983-02-28","1983Feb","9.498428"
"1983-03-31","1983Mar","9.505579"
"1983-04-30","1983Apr","9.511873"
"1983-05-31","1983May","9.515137"
"1983-06-30","1983Jun","9.516138"
"1983-07-31","1983Jul","9.516523"
"1983-08-31","1983Aug","9.513765"
"1983-09-30","1983Sep","9.509866"
"1983-10-31","1983Oct","9.502440"
"1983-11-30","1983Nov","9.491561"
"1983-12-31","1983Dec","9.479459"
"1984-01-31","1984Jan","9.463776"
"1984-02-29","1984Feb","9.448282"
"1984-03-31","1984Mar","9.425251"
"1984-04-30","1984Apr","9.395012"
"1984-05-31","1984May","9.360016"
"1984-06-30","1984Jun","9.318878"
"1984-07-31","1984Jul","9.271379"
"1984-08-31","1984Aug","9.222004"
"1984-09-30","1984Sep","9.165836"
"1984-10-31","1984Oct","9.103470"
"1984-11-30","1984Nov","9.037438"
"1984-12-31","1984Dec","8.965336"
"1985-01-31","1985Jan","8.890840"
"1985-02-28","1985Feb","8.815973"
"1985-03-31","1985Mar","8.737544"
"1985-04-30","1985Apr","8.657652"
"1985-05-31","1985May","8.575666"
"1985-06-30","1985Jun","8.491835"
"1985-07-31","1985Jul","8.407627"
"1985-08-31","1985Aug","8.322728"
"1985-09-30","1985Sep","8.238741"
"1985-10-31","1985Oct","8.154283"
"1985-11-30","1985Nov","8.068925"
"1985-12-31","1985Dec","7.985925"
"1986-01-31","1986Jan","7.902459"
"1986-02-28","1986Feb","7.829632"
"1986-03-31","1986Mar","7.761987"
"1986-04-30","1986Apr","7.700935"
"1986-05-31","1986May","7.645567"
"1986-06-30","1986Jun","7.595762"
"1986-07-31","1986Jul","7.552318"
"1986-08-31","1986Aug","7.515774"
"1986-09-30","1986Sep","7.485866"
"1986-10-31","1986Oct","7.462207"
"1986-11-30","1986Nov","7.445352"
"1986-12-31","1986Dec","7.440514"
"1987-01-31","1987Jan","7.437659"
"1987-02-28","1987Feb","7.441057"
"1987-03-31","1987Mar","7.443274"
"1987-04-30","1987Apr","7.446613"
"1987-05-31","1987May","7.449470"
"1987-06-30","1987Jun","7.453710"
"1987-07-31","1987Jul","7.460783"
"1987-08-31","1987Aug","7.463781"
"1987-09-30","1987Sep","7.468949"
"1987-10-31","1987Oct","7.472564"
"1987-11-30","1987Nov","7.472756"
"1987-12-31","1987Dec","7.476062"
"1988-01-31","1988Jan","7.472450"
"1988-02-29","1988Feb","7.470812"
"1988-03-31","1988Mar","7.461442"
"1988-04-30","1988Apr","7.445739"
"1988-05-31","1988May","7.424965"
"1988-06-30","1988Jun","7.397783"
"1988-07-31","1988Jul","7.363845"
"1988-08-31","1988Aug","7.326953"
"1988-09-30","1988Sep","7.283396"
"1988-10-31","1988Oct","7.233053"
"1988-11-30","1988Nov","7.179319"
"1988-12-31","1988Dec","7.117726"
"1989-01-31","1989Jan","7.055800"
"1989-02-28","1989Feb","6.994439"
"1989-03-31","1989Mar","6.930669"
"1989-04-30","1989Apr","6.864925"
"1989-05-31","1989May","6.799720"
"1989-06-30","1989Jun","6.733393"
"1989-07-31","1989Jul","6.667681"
"1989-08-31","1989Aug","6.605477"
"1989-09-30","1989Sep","6.543330"
"1989-10-31","1989Oct","6.482584"
"1989-11-30","1989Nov","6.423256"
"1989-12-31","1989Dec","6.368110"
"1990-01-31","1990Jan","6.310925"
"1990-02-28","1990Feb","6.262234"
"1990-03-31","1990Mar","6.212302"
"1990-04-30","1990Apr","6.165967"
"1990-05-31","1990May","6.119982"
"1990-06-30","1990Jun","6.075668"
"1990-07-31","1990Jul","6.035891"
"1990-08-31","1990Aug","5.994250"
"1990-09-30","1990Sep","5.956787"
"1990-10-31","1990Oct","5.921072"
"1990-11-30","1990Nov","5.887022"
"1990-12-31","1990Dec","5.861644"
"1991-01-31","1991Jan","5.835581"
"1991-02-28","1991Feb","5.815444"
"1991-03-31","1991Mar","5.791713"
"1991-04-30","1991Apr","5.767601"
"1991-05-31","1991May","5.744543"
"1991-06-30","1991Jun","5.721760"
"1991-07-31","1991Jul","5.700938"
"1991-08-31","1991Aug","5.682627"
"1991-09-30","1991Sep","5.665679"
"1991-10-31","1991Oct","5.650351"
"1991-11-30","1991Nov","5.633392"
"1991-12-31","1991Dec","5.617344"
"1992-01-31","1992Jan","5.598344"
"1992-02-29","1992Feb","5.596304"
"1992-03-31","1992Mar","5.601296"
"1992-04-30","1992Apr","5.618467"
"1992-05-31","1992May","5.641966"
"1992-06-30","1992Jun","5.671710"
"1992-07-31","1992Jul","5.711885"
"1992-08-31","1992Aug","5.757555"
"1992-09-30","1992Sep","5.812204"
"1992-10-31","1992Oct","5.875240"
"1992-11-30","1992Nov","5.947327"
"1992-12-31","1992Dec","6.034831"
"1993-01-31","1993Jan","6.126174"
"1993-02-28","1993Feb","6.218578"
"1993-03-31","1993Mar","6.298176"
"1993-04-30","1993Apr","6.370407"
"1993-05-31","1993May","6.436593"
"1993-06-30","1993Jun","6.497175"
"1993-07-31","1993Jul","6.555478"
"1993-08-31","1993Aug","6.609057"
"1993-09-30","1993Sep","6.659026"
"1993-10-31","1993Oct","6.704077"
"1993-11-30","1993Nov","6.736322"
"1993-12-31","1993Dec","6.756828"
"1994-01-31","1994Jan","6.767188"
"1994-02-28","1994Feb","6.803745"
"1994-03-31","1994Mar","6.853244"
"1994-04-30","1994Apr","6.922360"
"1994-05-31","1994May","7.001641"
"1994-06-30","1994Jun","7.086321"
"1994-07-31","1994Jul","7.182599"
"1994-08-31","1994Aug","7.292337"
"1994-09-30","1994Sep","7.407823"
"1994-10-31","1994Oct","7.533335"
"1994-11-30","1994Nov","7.672501"
"1994-12-31","1994Dec","7.821557"
"1995-01-31","1995Jan","7.982908"
"1995-02-28","1995Feb","8.126063"
"1995-03-31","1995Mar","8.231909"
"1995-04-30","1995Apr","8.311424"
"1995-05-31","1995May","8.367956"
