"DATE","TIME PERIOD","(LFSI.M.PL.S.UNEHRT.TOTAL0.15_74.T)"
"1997-01-31","1997Jan","11.798694"
"1997-02-28","1997Feb","11.523486"
"1997-03-31","1997Mar","11.296410"
"1997-04-30","1997Apr","11.079037"
"1997-05-31","1997May","10.940850"
"1997-06-30","1997Jun","10.886172"
"1997-07-31","1997Jul","10.803064"
"1997-08-31","1997Aug","10.672630"
"1997-09-30","1997Sep","10.523438"
"1997-10-31","1997Oct","10.358857"
"1997-11-30","1997Nov","10.226334"
"1997-12-31","1997Dec","10.104686"
"1998-01-31","1998Jan","9.974168"
"1998-02-28","1998Feb","9.896162"
"1998-03-31","1998Mar","9.844360"
"1998-04-30","1998Apr","9.849453"
"1998-05-31","1998May","9.898665"
"1998-06-30","1998Jun","9.961070"
"1998-07-31","1998Jul","10.065863"
"1998-08-31","1998Aug","10.187616"
"1998-09-30","1998Sep","10.359979"
"1998-10-31","1998Oct","10.594245"
"1998-11-30","1998Nov","10.825670"
"1998-12-31","1998Dec","11.042656"
"1999-01-31","1999Jan","11.453304"
"1999-02-28","1999Feb","11.963941"
"1999-03-31","1999Mar","12.345818"
"1999-04-30","1999Apr","12.654971"
"1999-05-31","1999May","12.927995"
"1999-06-30","1999Jun","13.197326"
"1999-07-31","1999Jul","13.502979"
"1999-08-31","1999Aug","13.844697"
"1999-09-30","1999Sep","14.176873"
"1999-10-31","1999Oct","14.466973"
"1999-11-30","1999Nov","14.755508"
"1999-12-31","1999Dec","15.061791"
"2000-01-31","2000Jan","15.462513"
"2000-02-29","2000Feb","15.828512"
"2000-03-31","2000Mar","16.090862"
"2000-04-30","2000Apr","16.194629"
"2000-05-31","2000May","16.253954"
"2000-06-30","2000Jun","16.116497"
"2000-07-31","2000Jul","16.001248"
"2000-08-31","2000Aug","15.934662"
"2000-09-30","2000Sep","16.031766"
"2000-10-31","2000Oct","16.233558"
"2000-11-30","2000Nov","16.485001"
"2000-12-31","2000Dec","16.795882"
"2001-01-31","2001Jan","17.138184"
"2001-02-28","2001Feb","17.386107"
"2001-03-31","2001Mar","17.710626"
"2001-04-30","2001Apr","18.091566"
"2001-05-31","2001May","18.366561"
"2001-06-30","2001Jun","18.451591"
"2001-07-31","2001Jul","18.373366"
"2001-08-31","2001Aug","18.422528"
"2001-09-30","2001Sep","18.571652"
"2001-10-31","2001Oct","18.827398"
"2001-11-30","2001Nov","19.078293"
"2001-12-31","2001Dec","19.238818"
"2002-01-31","2002Jan","19.361267"
"2002-02-28","2002Feb","19.434360"
"2002-03-31","2002Mar","19.583155"
"2002-04-30","2002Apr","19.859378"
"2002-05-31","2002May","19.835590"
"2002-06-30","2002Jun","20.194827"
"2002-07-31","2002Jul","20.365661"
"2002-08-31","2002Aug","20.456960"
"2002-09-30","2002Sep","20.484624"
"2002-10-31","2002Oct","20.422925"
"2002-11-30","2002Nov","20.297658"
"2002-12-31","2002Dec","20.130438"
"2003-01-31","2003Jan","19.905413"
"2003-02-28","2003Feb","19.751681"
"2003-03-31","2003Mar","19.614261"
"2003-04-30","2003Apr","19.493964"
"2003-05-31","2003May","19.526222"
"2003-06-30","2003Jun","19.675069"
"2003-07-31","2003Jul","19.914166"
"2003-08-31","2003Aug","19.995242"
"2003-09-30","2003Sep","19.920761"
"2003-10-31","2003Oct","19.781671"
"2003-11-30","2003Nov","19.728720"
"2003-12-31","2003Dec","19.827617"
"2004-01-31","2004Jan","20.006643"
