"DATE","TIME PERIOD","(LFSI.M.PL.N.UNEHRT.TOTAL0.15_74.T)"
"1997-01-31","1997Jan","12.162897"
"1997-02-28","1997Feb","12.092036"
"1997-03-31","1997Mar","11.871927"
"1997-04-30","1997Apr","11.430880"
"1997-05-31","1997May","10.965276"
"1997-06-30","1997Jun","10.771070"
"1997-07-31","1997Jul","10.668940"
"1997-08-31","1997Aug","10.439448"
"1997-09-30","1997Sep","10.154859"
"1997-10-31","1997Oct","9.878404"
"1997-11-30","1997Nov","9.825189"
"1997-12-31","1997Dec","10.001316"
"1998-01-31","1998Jan","10.331803"
"1998-02-28","1998Feb","10.585377"
"1998-03-31","1998Mar","10.534857"
"1998-04-30","1998Apr","10.258638"
"1998-05-31","1998May","9.911453"
"1998-06-30","1998Jun","9.752577"
"1998-07-31","1998Jul","9.790910"
"1998-08-31","1998Aug","9.813863"
"1998-09-30","1998Sep","9.867125"
"1998-10-31","1998Oct","10.016949"
"1998-11-30","1998Nov","10.305948"
"1998-12-31","1998Dec","10.804110"
"1999-01-31","1999Jan","11.759236"
"1999-02-28","1999Feb","12.733065"
"1999-03-31","1999Mar","13.189232"
"1999-04-30","1999Apr","13.230079"
"1999-05-31","1999May","13.057457"
"1999-06-30","1999Jun","13.010918"
"1999-07-31","1999Jul","13.214298"
"1999-08-31","1999Aug","13.492460"
"1999-09-30","1999Sep","13.751700"
"1999-10-31","1999Oct","13.973069"
"1999-11-30","1999Nov","14.318168"
"1999-12-31","1999Dec","14.911043"
"2000-01-31","2000Jan","15.910818"
"2000-02-29","2000Feb","16.691082"
"2000-03-31","2000Mar","17.004980"
"2000-04-30","2000Apr","16.773608"
"2000-05-31","2000May","16.345701"
"2000-06-30","2000Jun","15.934332"
"2000-07-31","2000Jul","15.622724"
"2000-08-31","2000Aug","15.357103"
"2000-09-30","2000Sep","15.342712"
"2000-10-31","2000Oct","15.441257"
"2000-11-30","2000Nov","15.924030"
"2000-12-31","2000Dec","16.679211"
"2001-01-31","2001Jan","17.832564"
"2001-02-28","2001Feb","18.368900"
