"DATE","TIME PERIOD","(LFSI.M.PL.N.UNEHRT.TOTAL0.15_74.F)"
"1997-01-31","1997Jan","13.947825"
"1997-02-28","1997Feb","13.689436"
"1997-03-31","1997Mar","13.511430"
"1997-04-30","1997Apr","13.270435"
"1997-05-31","1997May","13.000700"
"1997-06-30","1997Jun","13.016965"
"1997-07-31","1997Jul","13.102371"
"1997-08-31","1997Aug","12.956834"
"1997-09-30","1997Sep","12.662124"
"1997-10-31","1997Oct","12.333912"
"1997-11-30","1997Nov","12.147453"
"1997-12-31","1997Dec","12.103401"
"1998-01-31","1998Jan","12.212685"
"1998-02-28","1998Feb","12.297632"
"1998-03-31","1998Mar","12.214550"
"1998-04-30","1998Apr","12.023639"
"1998-05-31","1998May","11.803300"
"1998-06-30","1998Jun","11.759810"
"1998-07-31","1998Jul","11.911802"
"1998-08-31","1998Aug","12.051882"
"1998-09-30","1998Sep","12.179679"
"1998-10-31","1998Oct","12.311491"
"1998-11-30","1998Nov","12.491790"
"1998-12-31","1998Dec","12.801377"
"1999-01-31","1999Jan","13.513912"
"1999-02-28","1999Feb","14.237777"
"1999-03-31","1999Mar","14.554296"
"1999-04-30","1999Apr","14.667983"
"1999-05-31","1999May","14.658220"
"1999-06-30","1999Jun","14.828176"
"1999-07-31","1999Jul","15.231927"
"1999-08-31","1999Aug","15.626265"
"1999-09-30","1999Sep","15.976523"
"1999-10-31","1999Oct","16.277669"
"1999-11-30","1999Nov","16.554491"
"1999-12-31","1999Dec","16.948586"
"2000-01-31","2000Jan","17.761200"
"2000-02-29","2000Feb","18.438093"
"2000-03-31","2000Mar","18.788945"
"2000-04-30","2000Apr","18.705780"
"2000-05-31","2000May","18.338781"
"2000-06-30","2000Jun","18.041866"
"2000-07-31","2000Jul","17.688343"
"2000-08-31","2000Aug","17.446360"
"2000-09-30","2000Sep","17.461003"
"2000-10-31","2000Oct","17.675879"
"2000-11-30","2000Nov","18.080002"
"2000-12-31","2000Dec","18.628707"
"2001-01-31","2001Jan","19.456579"
"2001-02-28","2001Feb","19.843133"
"2001-03-31","2001Mar","20.126301"
"2001-04-30","2001Apr","20.219046"
"2001-05-31","2001May","20.035434"
"2001-06-30","2001Jun","19.993182"
"2001-07-31","2001Jul","19.811628"
"2001-08-31","2001Aug","19.721807"
"2001-09-30","2001Sep","19.701473"
"2001-10-31","2001Oct","19.745392"
"2001-11-30","2001Nov","19.989094"
"2001-12-31","2001Dec","20.342831"
"2002-01-31","2002Jan","20.950799"
"2002-02-28","2002Feb","21.148021"
"2002-03-31","2002Mar","21.171349"
"2002-04-30","2002Apr","21.067552"
"2002-05-31","2002May","20.364274"
"2002-06-30","2002Jun","20.939207"
"2002-07-31","2002Jul","21.468889"
"2002-08-31","2002Aug","21.578782"
"2002-09-30","2002Sep","21.358354"
"2002-10-31","2002Oct","20.840993"
"2002-11-30","2002Nov","20.626278"
"2002-12-31","2002Dec","20.673730"
"2003-01-31","2003Jan","21.100118"
"2003-02-28","2003Feb","21.097824"
"2003-03-31","2003Mar","20.777217"
"2003-04-30","2003Apr","20.209970"
"2003-05-31","2003May","19.887073"
"2003-06-30","2003Jun","20.115743"
"2003-07-31","2003Jul","20.641565"
"2003-08-31","2003Aug","20.816316"
"2003-09-30","2003Sep","20.649288"
"2003-10-31","2003Oct","20.305955"
"2003-11-30","2003Nov","20.367287"
"2003-12-31","2003Dec","20.794533"
"2004-01-31","2004Jan","21.566784"
"2004-02-29","2004Feb","21.611903"
"2004-03-31","2004Mar","21.261396"
"2004-04-30","2004Apr","20.458429"
"2004-05-31","2004May","19.802925"
"2004-06-30","2004Jun","19.571344"
"2004-07-31","2004Jul","19.399736"
"2004-08-31","2004Aug","19.317873"
"2004-09-30","2004Sep","19.282889"
"2004-10-31","2004Oct","19.358211"
"2004-11-30","2004Nov","19.644324"
"2004-12-31","2004Dec","20.234189"
"2005-01-31","2005Jan","20.043729"
"2005-02-28","2005Feb","20.759995"
"2005-03-31","2005Mar","19.997583"
"2005-04-30","2005Apr","19.785403"
"2005-05-31","2005May","19.159392"
"2005-06-30","2005Jun","19.072554"
"2005-07-31","2005Jul","19.268526"
"2005-08-31","2005Aug","19.358150"
"2005-09-30","2005Sep","19.260344"
"2005-10-31","2005Oct","18.937189"
"2005-11-30","2005Nov","18.595695"
"2005-12-31","2005Dec","18.162644"
"2006-01-31","2006Jan","17.679858"
"2006-02-28","2006Feb","16.939100"
"2006-03-31","2006Mar","16.216067"
"2006-04-30","2006Apr","15.480488"
"2006-05-31","2006May","14.931194"
"2006-06-30","2006Jun","14.560482"
"2006-07-31","2006Jul","14.481719"
"2006-08-31","2006Aug","14.481315"
"2006-09-30","2006Sep","14.385342"
"2006-10-31","2006Oct","14.174244"
"2006-11-30","2006Nov","13.887718"
"2006-12-31","2006Dec","13.483589"
"2007-01-31","2007Jan","12.945788"
"2007-02-28","2007Feb","12.152790"
"2007-03-31","2007Mar","11.304224"
"2007-04-30","2007Apr","10.496148"
"2007-05-31","2007May","9.957740"
"2007-06-30","2007Jun","9.693261"
"2007-07-31","2007Jul","9.778593"
"2007-08-31","2007Aug","9.839249"
"2007-09-30","2007Sep","9.771692"
"2007-10-31","2007Oct","9.579863"
"2007-11-30","2007Nov","9.412416"
"2007-12-31","2007Dec","9.249543"
"2008-01-31","2008Jan","9.066536"
"2008-02-29","2008Feb","8.607937"
"2008-03-31","2008Mar","8.147166"
"2008-04-30","2008Apr","7.783041"
"2008-05-31","2008May","7.618287"
"2008-06-30","2008Jun","7.542528"
"2008-07-31","2008Jul","7.681734"
"2008-08-31","2008Aug","7.723274"
"2008-09-30","2008Sep","7.571630"
"2008-10-31","2008Oct","7.310188"
"2008-11-30","2008Nov","7.443086"
"2008-12-31","2008Dec","7.830771"
"2009-01-31","2009Jan","8.765856"
"2009-02-28","2009Feb","8.896789"
"2009-03-31","2009Mar","8.799983"
"2009-04-30","2009Apr","8.427722"
"2009-05-31","2009May","8.214706"
"2009-06-30","2009Jun","8.162044"
"2009-07-31","2009Jul","8.440525"
"2009-08-31","2009Aug","8.565600"
"2009-09-30","2009Sep","8.557449"
"2009-10-31","2009Oct","8.351143"
"2009-11-30","2009Nov","8.585793"
"2009-12-31","2009Dec","9.253072"
"2010-01-31","2010Jan","10.992676"
"2010-02-28","2010Feb","11.051654"
"2010-03-31","2010Mar","10.820545"
"2010-04-30","2010Apr","10.361367"
"2010-05-31","2010May","10.140233"
"2010-06-30","2010Jun","9.938663"
"2010-07-31","2010Jul","9.970161"
"2010-08-31","2010Aug","10.047896"
"2010-09-30","2010Sep","10.142579"
"2010-10-31","2010Oct","10.136335"
"2010-11-30","2010Nov","10.130860"
"2010-12-31","2010Dec","10.225649"
"2011-01-31","2011Jan","10.450125"
"2011-02-28","2011Feb","10.416351"
"2011-03-31","2011Mar","10.392000"
"2011-04-30","2011Apr","10.307079"
"2011-05-31","2011May","10.308047"
"2011-06-30","2011Jun","10.335011"
"2011-07-31","2011Jul","10.665551"
"2011-08-31","2011Aug","10.929189"
"2011-09-30","2011Sep","11.076510"
"2011-10-31","2011Oct","11.061104"
"2011-11-30","2011Nov","11.106808"
"2011-12-31","2011Dec","11.103548"
"2012-01-31","2012Jan","11.317341"
"2012-02-29","2012Feb","11.265554"
"2012-03-31","2012Mar","11.116538"
"2012-04-30","2012Apr","11.010042"
"2012-05-31","2012May","10.965058"
"2012-06-30","2012Jun","10.919010"
"2012-07-31","2012Jul","11.102230"
