"DATE","TIME PERIOD","(LFSI.M.ES.S.UNEHRT.TOTAL0.15_74.T)"
"1986-04-30","1986Apr","20.561989"
"1986-05-31","1986May","20.492960"
"1986-06-30","1986Jun","20.386207"
"1986-07-31","1986Jul","20.357408"
"1986-08-31","1986Aug","20.283180"
"1986-09-30","1986Sep","20.270647"
"1986-10-31","1986Oct","20.198915"
"1986-11-30","1986Nov","20.255259"
"1986-12-31","1986Dec","20.228237"
"1987-01-31","1987Jan","20.195775"
"1987-02-28","1987Feb","20.066089"
"1987-03-31","1987Mar","19.915259"
"1987-04-30","1987Apr","19.770327"
"1987-05-31","1987May","19.661766"
"1987-06-30","1987Jun","19.630928"
"1987-07-31","1987Jul","19.723968"
"1987-08-31","1987Aug","19.693558"
"1987-09-30","1987Sep","19.693106"
"1987-10-31","1987Oct","19.547642"
"1987-11-30","1987Nov","19.411398"
"1987-12-31","1987Dec","19.383413"
"1988-01-31","1988Jan","19.342887"
"1988-02-29","1988Feb","19.226773"
"1988-03-31","1988Mar","19.121389"
"1988-04-30","1988Apr","19.087908"
"1988-05-31","1988May","19.087809"
"1988-06-30","1988Jun","19.026631"
"1988-07-31","1988Jul","18.909190"
"1988-08-31","1988Aug","18.718392"
"1988-09-30","1988Sep","18.387825"
"1988-10-31","1988Oct","17.967219"
"1988-11-30","1988Nov","17.726983"
"1988-12-31","1988Dec","17.633577"
"1989-01-31","1989Jan","17.508504"
"1989-02-28","1989Feb","17.313184"
"1989-03-31","1989Mar","17.104120"
"1989-04-30","1989Apr","16.878756"
"1989-05-31","1989May","16.656233"
"1989-06-30","1989Jun","16.439552"
"1989-07-31","1989Jul","16.217615"
"1989-08-31","1989Aug","16.155585"
"1989-09-30","1989Sep","15.982099"
"1989-10-31","1989Oct","16.100289"
"1989-11-30","1989Nov","16.132441"
"1989-12-31","1989Dec","16.139560"
"1990-01-31","1990Jan","15.860794"
"1990-02-28","1990Feb","15.750912"
"1990-03-31","1990Mar","15.618570"
"1990-04-30","1990Apr","15.631954"
"1990-05-31","1990May","15.596872"
"1990-06-30","1990Jun","15.461049"
"1990-07-31","1990Jul","15.307181"
"1990-08-31","1990Aug","15.316350"
"1990-09-30","1990Sep","15.251897"
"1990-10-31","1990Oct","15.301923"
"1990-11-30","1990Nov","15.275299"
"1990-12-31","1990Dec","15.295968"
"1991-01-31","1991Jan","15.128417"
"1991-02-28","1991Feb","15.125846"
"1991-03-31","1991Mar","15.119616"
"1991-04-30","1991Apr","15.181250"
"1991-05-31","1991May","15.264914"
"1991-06-30","1991Jun","15.402326"
"1991-07-31","1991Jul","15.617892"
"1991-08-31","1991Aug","15.765054"
"1991-09-30","1991Sep","15.864290"
"1991-10-31","1991Oct","15.916913"
"1991-11-30","1991Nov","15.878293"
"1991-12-31","1991Dec","15.931800"
"1992-01-31","1992Jan","15.982913"
"1992-02-29","1992Feb","16.079259"
"1992-03-31","1992Mar","16.252464"
"1992-04-30","1992Apr","16.428118"
"1992-05-31","1992May","16.519217"
"1992-06-30","1992Jun","16.671554"
"1992-07-31","1992Jul","16.912157"
"1992-08-31","1992Aug","17.154197"
"1992-09-30","1992Sep","17.522892"
"1992-10-31","1992Oct","17.967914"
"1992-11-30","1992Nov","18.380795"
"1992-12-31","1992Dec","18.805458"
"1993-01-31","1993Jan","19.157471"
"1993-02-28","1993Feb","19.523298"
"1993-03-31","1993Mar","19.982974"
"1993-04-30","1993Apr","20.176114"
"1993-05-31","1993May","20.397556"
"1993-06-30","1993Jun","20.909847"
"1993-07-31","1993Jul","21.256945"
"1993-08-31","1993Aug","21.358200"
"1993-09-30","1993Sep","21.536581"
"1993-10-31","1993Oct","21.739879"
"1993-11-30","1993Nov","21.856598"
"1993-12-31","1993Dec","22.038589"
"1994-01-31","1994Jan","22.248482"
"1994-02-28","1994Feb","22.250919"
"1994-03-31","1994Mar","22.202451"
"1994-04-30","1994Apr","22.246532"
"1994-05-31","1994May","22.207401"
"1994-06-30","1994Jun","22.186014"
"1994-07-31","1994Jul","22.053347"
"1994-08-31","1994Aug","22.019860"
"1994-09-30","1994Sep","21.962359"
"1994-10-31","1994Oct","21.833471"
"1994-11-30","1994Nov","21.750387"
"1994-12-31","1994Dec","21.644999"
"1995-01-31","1995Jan","21.381614"
"1995-02-28","1995Feb","21.194187"
"1995-03-31","1995Mar","20.885818"
